Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,HSWV,GSWV,Ярлык
47,содержание,архиерея,содержание,архиерей,Ncnsan,Ncmsgy,OB,,,свойство_S,деятель_S,
48,наша,ставка,наш,ставка,P-snfna,Ncfsnn,POS,,,родственник_S,группа_S,
49,своими,войсками,свой,войско,P---pia,Ncnpin,POS,,,родственник_S,агент_S,
50,кресло,главы,кресло,глава,Ncnsan,Ncmsgy,POS,,,предмет_S,агент_S,
51,главы,района,глава,район,Ncmsgy,Ncmsgn,MB,,,агент_S,группа_S,
52,проведения,агитации,проведение,агитация,Ncnsgn,Ncfsgn,OB,,,организация_S,организация_S,
53,журналист,телеканала,журналист,телеканал,Ncmsny,Ncmsgy,MB,,,деятель_S,деятель_S,
54,встречу,начальника,встреча,начальник,Ncfsan,Ncmsgy,SAG,,,действие_S,агент_S,
55,начальника,отдела,начальник,отдел,Ncmsgy,Ncmsgn,MB,,,агент_S,учреждение_S,
56,отдела,прокуратуры,отдел,прокуратура,Ncmsgn,Ncfsgn,WH,,,учреждение_S,агент_S,
57,съемках,программы,съемка,программа,Ncfpln,Ncfsgn,OB,,,действие_S,организация_S,
58,преследования,гражданина,преследование,гражданин,Ncnsgn,Ncmsgy,OB,,,действие_S,человек_S,
59,обнаружения,имущества,обнаружение,имущество,Ncnsgn,Ncnsgn,OB,,,действие_S,учреждение_S,
60,партнер,компании,партнер,компания,Ncmsny,Ncfsgn,KIN-SOC,,,агент_S,группа_S,
61,объяснения,редактора,объяснение,редактор,Ncnsgn,Ncmsgy,SAG,,,действие_S,деятель_S,
62,промах,редакции,промах,редакция,Ncmsnn,Ncfsgn,SAG,,,действие_S,группа_S,
63,исполнителей,злодеяния,исполнитель,злодеяние,Ncmpgy,Ncfsgn,OB',,,человек_S,действие_S,
64,кара,аллаха,кара,аллах,Ncfsnn,Ncmsgy,SAG,,,действие_S,человек_S,
65,накопления,человека,накопление,человек,Ncnpnn,Ncmsgy,POS,,,свойство_S,человек_S,
66,заседании,комиссии,заседание,комиссия,Ncnsln,Ncfsgn,SAG,,,учреждение_S,учреждение_S,
67,комиссии,области,комиссия,область,Ncfsgn,Ncfsgn,ATR,,,учреждение_S,предмет_S,
68,заместитель,комиссара,заместитель,комиссар,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
69,комиссара,области,комиссар,область,Ncmsgy,Ncfsgn,MB,,,агент_S,предмет_S,
70,начальник,отдела,начальник,отдел,Ncmsny,Ncmsgn,MB,,,агент_S,учреждение_S,
71,отдела,призыва,отдел,призыв,Ncmsgn,Ncmsgn,WH,,,учреждение_S,действие_S,
72,утверждение,президента,утверждение,президент,Ncnsan,Ncmsgy,SAG,,,действие_S,деятель_S,
73,состав,правительства,состав,правительство,Ncmsan,Ncnsgn,PAR,,,группа_S,организация_S,
74,листы,директора,лист,директор,Ncmpan,Ncmsgy,POS,,,свойство_S,учреждение_S,
75,место,афганистана,место,афганистан,Ncnsan,Npmsgn,POS,,,предмет_S,действие_S,
76,родственник,вице-премьера,родственник,вице-премьер,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
77,экранизацией,произведений,экранизация,произведение,Ncfsin,Ncnpgn,OB,,,действие_S,предмет_S,
78,племянник,чародея,племянник,чародей,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
79,платежи,покупателя,платеж,покупатель,Ncmpan,Ncmsgy,SAG,,,учреждение_S,человек_S,
80,представителя,племени,представитель,племя,Ncmsgy,Ncnsgn,MB,,,деятель_S,группа_S,
81,особенности,охоты,особенность,охота,Ncfpnn,Ncfsgn,PAR,,,свойство_S,действие_S,
82,поиск,донора,поиск,донор,Ncmsan,Ncmsgy,OB,,,действие_S,человек_S,
83,опеку,парня,опека,парень,Ncfsan,Ncmsgy,SAG,,,учреждение_S,человек_S,
84,отец,живописца,отец,живописец,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
85,консолидация,усилий,консолидация,усилие,Ncfsnn,Ncnpgn,OB,,,организация_S,действие_S,
86,работа,групп,работа,группа,Ncfsnn,Ncfpgn,SAG,,,организация_S,группа_S,
87,строительство,домов,строительство,дом,Ncnsnn,Ncmpgn,OB,,,организация_S,родственник_S,
88,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,учреждение_S,
89,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,учреждение_S,организация_S,
90,директором,департамента,директор,департамент,Ncmsiy,Ncmsgn,MB,,,учреждение_S,агент_S,
91,департамента,мчс,департамент,мчс,Ncmsgn,Ncnsgn,WH,,,агент_S,организация_S,
92,управления,защиты,управление,защита,Nsnsgn,Nsfsgn,OB,,,учреждение_S,организация_S,
93,защиты,информации,защита,информация,Nsfsgn,Ncfsgn,OB,,,организация_S,агент_S,
94,обеспечения,безопасности,обеспечение,безопасность,Nsnsgn,Ncfsgn,OB,,,организация_S,организация_S,
95,безопасности,работ,безопасность,работа,Ncfsgn,Ncfpgn,PAR,,,организация_S,организация_S,
96,работ,ведомства,работа,ведомство,Ncfpgn,Ncnsgn,SAG,,,организация_S,учреждение_S,
97,подписание,соглашения,подписание,соглашение,Ncnsnn,Ncnsgn,OB,,,действие_S,агент_S,
98,глава,мид,глава,мид,Ncmsny,Ncnsgn,MB,,,агент_S,агент_S,
99,президенте,рф,президент,рф,Ncmsly,Ncfsgn,MB,,,деятель_S,агент_S,
100,вдова,артиста,вдова,артист,Ncfsnn,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
101,состояние,его,состояние,он,Ncnsan,P-3msan,PAR,,,свойство_S,родственник_S,
102,тяжесть,течения,тяжесть,течение,Ncnsan,Ncnsgn,PAR,,,свойство_S,действие_S,
103,течения,заболевания,течение,заболевание,Ncnsgn,Ncnsgn,PAR,,,действие_S,свойство_S,
104,мужем,людмилы,муж,людмила,Ncmsiy,Npfsgy,KIN-SOC,,,родственник_S,учреждение_S,
105,отбор,автомобилей,отбор,автомобиль,Ncmsan,Ncmpgn,OB,,,свойство_S,агент_S,
106,имени,производителей,имя,производитель,Ncnsgn,Ncmpgy,POS,,,деятель_S,деятель_S,
107,папа,первоклассника,папа,первоклассник,Ncmsny,Nsmcgy,KIN-SOC,,,родственник_S,предмет_S,
108,ворот,соперника,ворота,соперник,Ncmpgn,Ncmsgy,POS,,,группа_S,родственник_S,
109,лидер,боевиков,лидер,боевик,Ncmsny,Ncmpgy,MB,,,деятель_S,агент_S,
110,гибели,садиста,гибель,садист,Ncfsgn,Ncmsgy,SPA,,,родственник_S,агент_S,
111,здоровье,человека,здоровье,человек,Ncnsan,Ncmsgy,PAR,,,свойство_S,человек_S,
112,мама,чемпиона,мама,чемпион,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
113,учеником,города,ученик,город,Ncmsiy,Ncmsgn,MB,,,человек_S,родственник_S,
114,приятель,героя,приятель,герой,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
115,возбуждение,дела,возбуждение,дело,Ncnsan,Ncnsgn,OB,,,действие_S,предмет_S,
116,соучастник,побега,соучастник,побег,Ncmsny,Ncmsgn,SAG,,,агент_S,действие_S,
117,норме,площади,норма,площадь,Ncnsdn,Ncfsgn,ATR,,,организация_S,группа_S,
118,родители,собственника,родитель,собственник,Ncmpny,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
119,неисполнение,требований,неисполнение,требование,Ncnsan,Ncnpgn,OB,,,действие_S,действие_S,
120,благосклонностью,вора,благосклонность,вор,Ncfsin,Ncmsgy,PAR,,,свойство_S,агент_S,
121,офис,агенства,офис,агенство,Ncmsan,Ncfsgn,POS,,,агент_S,агент_S,
122,заключение,договора,заключение,договор,Ncnsnn,Ncmsgn,OB,,,учреждение_S,организация_S,
123,город,проживания,город,проживание,Ncmsan,Ncnsgn,ATR,,,родственник_S,действие_S,
124,место,работы,место,работа,Ncnsan,Ncfsgn,ATR,,,предмет_S,организация_S,
125,знак,одобрения,знак,одобрение,Ncmsan,Ncnsgn,ATR,,,предмет_S,деятель_S,
126,одобрения,слов,одобрение,слово,Ncnsgn,Ncnpgn,OB,,,деятель_S,человек_S,
127,пресс-секретарь,главы,пресс-секретарь,глава,Ncmsgy,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
128,главы,правительства,глава,правительство,Ncmsgy,Ncnsgn,MB,,,агент_S,организация_S,
129,время,программы,время,программа,Ncnsan,Ncnsgn,ATR,,,родственник_S,организация_S,
130,сын,наследника,сын,наследник,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,родственник_S,
131,наследника,престола,наследник,престол,Ncmsgy,Ncmsgn,ATR,,,родственник_S,деятель_S,
132,строительства,дворца,строительство,дворец,Ncnsgn,Ncmsgn,OB,,,организация_S,учреждение_S,
133,установлении,навязывания,установление,навязывание,Ncnsin,Ncnsgn,OB,,,организация_S,действие_S,
134,невыгодность,условия,невыгодность,условие,Ncfsnn,Ncnsgn,PAR,,,предмет_S,свойство_S,
135,вице-президент,центра,вице-президент,центр,Ncfsnn,Ncnsgn,PAR,,,деятель_S,учреждение_S,
136,центра,технологий,центр,технология,Ncmsny,Ncmsgn,MB,,,учреждение_S,свойство_S,
137,помиловании,михаила,помилование,михаил,Ncnsln,Npmsgy,ATR,,,учреждение_S,деятель_S,
138,правления,медведева,правление,медведев,Ncnsln,Npmsgy,OB,,,организация_S,деятель_S,
139,срока,правления,срок,правление,Ncmsgn,Ncmsgy,SAG,,,группа_S,организация_S,
140,пагубности,застоя,пагубность,застой,Ncfsgn,Ncnsgn,ATR,,,действие_S,деятель_S,
141,пользе,образования,польза,образование,Ncfsgn,Ncmsgn,PAR,,,действие_S,учреждение_S,
142,наступления,кризиса,наступление,кризис,Ncnsgn,Ncmsgn,PAR,,,действие_S,деятель_S,
143,проведении,политики,проведение,политика,Ncnsgln,Ncfsgn,OB,,,организация_S,деятель_S,
144,благах,роста,благо,рост,Ncfsnn,Ncmpgy,PAR,,,предмет_S,группа_S,
145,полпред,президента,полпред,президент,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,деятель_S,
146,президента,рф,президент,рф,Ncmsgy,Ncfsgn,MB,,,деятель_S,агент_S,
147,характеристику,развития,характеристика,развитие,Ncfsdn,Ncnsgn,PAR,,,свойство_S,организация_S,
148,развития,комплекса,развитие,комплекс,Ncnsgn,Ncmsgn,SPA,,,организация_S,организация_S,
149,церемонии,вручения,церемония,вручение,Ncfsln,Ncnsgn,ATR,,,учреждение_S,агент_S,
150,вручения,премий,вручение,премия,Ncnsgn,Ncfpgn,OB,,,агент_S,деятель_S,
151,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,учреждение_S,
152,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,учреждение_S,организация_S,
153,министр,экономики,министр,экономика,Ncmsny,Ncfsgn,ATR,,,агент_S,учреждение_S,
154,министр,образования,министр,образование,Ncmsny,Ncnsgn,ATR,,,агент_S,учреждение_S,
155,ректор,университета,ректор,университет,Ncmsny,Ncmsgn,MB,,,учреждение_S,учреждение_S,
156,поклонники,булкагова,поклонник,булкагов,Ncmpny,Npmsgy,KIN-SOC,,,родственник_S,родственник_S,
157,убийство,журавля,убийство,журавль,Ncnsan,Ncmsgy,OB,,,действие_S,человек_S,
158,действия,водителя,действие,водитель,Ncnpan,Ncmsgy,SAG,,,действие_S,человек_S,
159,особенностей,подростка,особенность,подросток,Ncfsgn,Ncmsgy,PAR,,,свойство_S,человек_S,
160,машине,помощи,машина,помощь,Ncfsln,Ncfsgn,ATR,,,действие_S,действие_S,
161,враг,врага,враг,враг,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
162,премьер,рф,премьер,рф,Ncmsny,Ncfsgn,MB,,,агент_S,агент_S,
163,увольнения,чиновников,увольнение,чиновник,Ncnsgn,Ncmpgy,OB,,,действие_S,агент_S,
164,брат,форварда,брат,форвард,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,группа_S,
165,покровитель,ваенги,покровитель,ваенга,Ncmsny,Npfsgy,KIN-SOC,,,родственник_S,группа_S,
166,состояние,мэра,состояние,мэр,Ncnsnn,Ncmsgy,PAR,,,свойство_S,родственник_S,
167,задержании,его,задержание,он,Ncnsln,P-3msgy,OB,,,агент_S,родственник_S,
168,материалам,комиссии,материал,комиссия,Ncmpdn,Ncfsgn,POS,,,предмет_S,учреждение_S,
169,реакцию,пассажира,реакция,пассажир,Ncfsan,Ncmsgy,SAG,,,действие_S,человек_S,
170,дверь,кабинета,дверь,кабинет,Ncfsan,Ncmsgn,WH,,,человек_S,группа_S,
171,кабинета,начальника,кабинет,начальник,Ncmsgn,Ncmsgy,POS,,,группа_S,агент_S,
172,образа,полковника,образ,полковник,Ncmsgn,Npmsgy,PAR,,,свойство_S,агент_S,
173,вопросы,неравенста,вопрос,неравенст,Ncmpnn,Ncnsgn,ATR,,,предмет_S,родственник_S,
174,пример,человека,пример,человек,Ncmsnn,Ncmsgy,ATR,,,предмет_S,человек_S,
175,возведением,недвижимости,возведение,недвижимость,Ncnsin,Ncfsgn,OB,,,организация_S,агент_S,
176,восстановление,сектора,восстановление,сектор,Ncnsan,Ncmsgn,OB,,,организация_S,организация_S,
177,доме,ребенка,дом,ребенок,Ncmsln,Ncmsgy,ATR,,,родственник_S,родственник_S,
178,труд,врача,труд,врач,Ncmsnn,Ncmsgy,SAG,,,предмет_S,агент_S,
179,супруга,чемпиона,супруг,чемпион,Ncfsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
180,член,комитета,член,комитет,Ncmsny,Ncmsgn,MB,,,учреждение_S,организация_S,
181,здоровья,человека,здоровье,человек,Ncnsgn,Ncmsgy,PAR,,,свойство_S,человек_S,
182,распространении,клеветы,распространение,клевета,Ncnsgn,Ncfsgn,OB,,,организация_S,агент_S,
183,шафером,принца,шафер,принц,Ncmsiy,Ncmsgy,KIN-SOC,,,родственник_S,родственник_S,
184,юрист,партии,юрист,партия,Ncmsny,Ncfsgn,MB,,,деятель_S,группа_S,
185,реализации,проекта,реализация,проект,Ncfsgn,Ncmsgn,OB,,,действие_S,организация_S,
186,проекта,национализации,проект,национализация,Ncmsgn,Ncfsgn,ATR,,,организация_S,организация_S,
187,вопрос,увеличения,вопрос,увеличение,Ncmsan,Ncnsgn,ATR,,,предмет_S,действие_S,
188,увеличения,размера,увеличение,размер,Ncnsgn,Ncmsgn,OB,,,действие_S,свойство_S,
189,размера,выплаты,размер,выплата,Ncmsgn,Ncfsgn,PAR,,,свойство_S,действие_S,
190,заместитель,министра,заместитель,министр,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,агент_S,
191,переселение,объектов,переселение,объект,Ncnsan,Ncmpgn,OB,,,действие_S,предмет_S,
192,объектов,назначения,объект,назначение,Ncmpgn,Ncnsgn,PAR,,,предмет_S,учреждение_S,
193,решение,задач,решение,задача,Ncnsan,Ncfpgn,OB,,,действие_S,предмет_S,
194,развитие,туризма,развитие,туризм,Ncnsan,Ncmsgn,SPA,,,организация_S,организация_S,
195,министра,развития,министр,развитие,Ncmsgy,Ncnsgn,ATR,,,агент_S,организация_S,
196,качествами,руководителя,качество,руководитель,Ncnpin,Ncmsgy,PAR,,,свойство_S,организация_S,
197,глава,государства,глава,государство,Ncmsny,Ncnsgn,MB,,,агент_S,организация_S,
198,идею,неравенста,идея,неравенст,Ncfsan,Ncnsgn,ATR,,,организация_S,родственник_S,
199,портрету,мздоимца,портрет,мздоимец,Ncmsdn,Ncmsgy,OB',,,родственник_S,агент_S,
200,комбинат,хлебопродуктов,комбинат,хлебопродукт,Ncmsnn,Ncmpgn,ATR,,,учреждение_S,учреждение_S,
201,отставки,премьера,отставка,премьера,Ncfsgn,Ncmsgy,OB,,,агент_S,деятель_S,
202,бог,сна,бог,сон,Ncmsny,Ncmsgn,ATR,,,человек_S,предмет_S,
203,вирус,герпеса,вирус,герпес,Ncmsnn,Ncmsgn,ATR,,,свойство_S,человек_S,
204,клетку,человека,клетка,человек,Ncfsan,Ncmsgy,WH,,,человек_S,человек_S,
205,ассистент,балетмейстера,ассистент,балетмейстер,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,деятель_S,
206,балетмейстера,театра,балетмейстер,театр,Ncmsgy,Ncmsgn,MB,,,деятель_S,деятель_S,
207,театра,комедии,театр,комедия,Ncmsgn,Ncfsgn,ATR,,,деятель_S,деятель_S,
208,права,владелицы,право,владелица,Ncnpan,Ncfsgy,POS,,,свойство_S,родственник_S,
209,владелицы,авто,владелица,авто,Ncfsgy,Ncnsgn,POS,,,родственник_S,предмет_S,
210,характеры,принца,характер,принц,Ncmpan,Ncmsgy,PAR,,,свойство_S,родственник_S,
211,подготовке,статьи,подготовка,статья,Ncfskn,Ncfsgn,OB,,,организация_S,деятель_S,
212,реформе,хозяйства,реформа,хозяйство,Ncfsln,Ncnsgn,OB,,,действие_S,организация_S,
213,участием,лыжника,участие,лыжник,Ncnsin,Ncmsgy,SAG,,,организация_S,человек_S,
214,хозяйства,области,хозяйство,область,Ncnsgn,Ncfsgn,POS,,,организация_S,предмет_S,
215,сын,олигарха,сын,олигарх,Ncmsny,Ncmsgy,KIN-SOC,,,родственник_S,деятель_S,
216,восстание,рабов,восстание,раб,Ncnsan,Ncmpgy,SAG,,,организация_S,человек_S,
217,руководством,спартака,руководство,спартак,Ncnsin,Npmsgy,SAG,,,организация_S,организация_S,
218,репутацию,человека,репутация,человек,Ncfsan,Ncmsgy,ATR,,,организация_S,человек_S,
219,совращении,жрицы-весталки,совращение,жрица-весталка,Ncnsln,Ncfsgy,OB,,,действие_S,родственник_S,
220,покупке,участка,покупка,участок,Ncfsln,Ncmsgn,OB,,,родственник_S,группа_S,
221,защитой,капитана,защита,капитан,Ncfsin,Ncmsgy,OB,,,организация_S,агент_S,
222,мастерство,актера,мастерство,актер,Ncnsnn,Ncmsgy,PAR,,,свойство_S,человек_S,
223,снимки,стороны,снимка,сторона,Ncmpnn,Ncfsgn,OB',,,действие_S,группа_S,
224,стороны,луны,сторона,луна,Ncfsgn,Ncfsgn,WH,,,группа_S,человек_S,
225,полет,женщины,полет,женщина,Ncmsnn,Ncmsgy,SAG,,,действие_S,человек_S,
226,выход,человека,выход,человек,Ncmsnn,Ncmsgy,SAG,,,действие_S,человек_S,
227,должность,шеф-повара,должность,шеф-повар,Ncfsan,Ncmsgy,ATR,,,учреждение_S,деятель_S,
228,условиям,конкурса,условие,конкурс,Ncnpdn,Ncmsgn,PAR,,,свойство_S,организация_S,
229,прохождении,конкурса,прохождение,конкурс,Ncnsln,Ncmsgn,OB,,,действие_S,организация_S,
230,подельники,вора,подельник,вор,Ncmpny,Ncmsgy,KIN-SOC,,,родственник_S,агент_S,
231,открытость,частей,открытость,часть,Ncfsnn,Ncfpgn,PAR,,,свойство_S,группа_S,
232,член,совета,член,совет,Ncmsny,Ncmsgn,MB,,,учреждение_S,организация_S,
233,президенте,рф,президент,рф,Ncmsly,Ncfsgn,MB,,,деятель_S,агент_S,
234,институтов,общества,институт,общество,Ncmpgn,Ncnsgn,ATR,,,учреждение_S,организация_S,
235,правам,человека,право,человек,Ncnpdn,Ncmsgy,ATR,,,свойство_S,человек_S,
236,защитник,отечества,защитник,отечество,Ncmsny,Ncnsgn,OB,,,деятель_S,человек_S,
237,план,работы,план,работа,Ncmsan,Ncfsgn,ATR,,,группа_S,организация_S,
238,профессор,кафедры,профессор,кафедра,Ncmsny,Ncfsgn,MB,,,деятель_S,предмет_S,
239,кафедры,физиологии,кафедра,физиология,Ncfsgn,Ncfsgn,ATR,,,предмет_S,свойство_S,
240,физиологии,человека,физиология,человек,Ncfsgn,Ncmsgy,PAR,,,свойство_S,человек_S,
241,кафедры,факультета,кафедра,факультет,Ncfsgn,Ncmsgn,WH,,,предмет_S,группа_S,
242,факультета,мгу,факультет,мгу,Ncmsgn,Ncmsgn,WH,,,группа_S,группа_S,
243,величины,лотов,величина,лотовый,Ncfsgn,Ncmpgn,PAR,,,свойство_S,родственник_S,
244,идею,отмены,идея,отмена,Ncfsan,Ncfsgn,ATR,,,организация_S,действие_S,
245,отмены,выборов,отмена,выбор,Ncfsgn,Ncmpgn,OB,,,действие_S,действие_S,
246,выборов,мэра,выбор,мэр,Ncmpgn,Ncmsgy,OB,,,действие_S,родственник_S,
247,мэра,владивостока,мэр,владивосток,Ncmsgy,Npmsgn,MB,,,родственник_S,родственник_S,
248,пикетом,протеста,пикет,протест,Ncmsin,Ncmsgn,ATR,,,группа_S,действие_S,
249,здания,думы,здание,дума,Ncnsgn,Ncfsgn,ATR,,,учреждение_S,деятель_S,
250,степень,лояльности,степень,лояльность,Ncfsnn,Ncfsgn,PAR,,,свойство_S,деятель_S,
251,лояльности,арендодателя,лояльность,арендодатель,Ncfsgn,Ncmsgy,PAR,,,деятель_S,агент_S,
252,собственник,бизнес-центра,собственник,бизнес-центр,Ncmsny,Ncmsgn,POS,,,человек_S,учреждение_S,
253,права,расторжения,право,расторжение,Ncnsgn,Ncnsgn,ATR,,,свойство_S,действие_S,
254,регистрации,ребенка,регистрация,ребенок,Ncfsln,Ncmsgy,OB,,,учреждение_S,родственник_S,
255,органах,загса,орган,загс,Ncmpln,Ncmsgn,WH,,,учреждение_S,учреждение_S,
256,получение,квартиры,получение,квартира,Ncnsan,Ncfsgn,OB,,,организация_S,родственник_S,
257,губернатор,края,губернатор,край,Ncmsny,Ncmsgn,MB,,,родственник_S,родственник_S,
258,посещение,красноярска,посещение,красноярск,Ncnsnn,Ncmsgn,OB,,,родственник_S,родственник_S,
259,пресс-секретарь,премьера,пресс-секретарь,премьера,Ncmsny,Ncmsgy,KIN-SOC,,,агент_S,деятель_S,
260,гендиректор,агенства,гендиректор,агенство,Ncmsny,Ncnsgn,MB,,,организация_S,агент_S,
261,агенства,недвижимости,агенство,недвижимость,Ncnsgn,Ncfsgn,ATR,,,агент_S,агент_S,
262,возведением,стен,возведение,стена,Ncnsin,Ncfpgn,OB,,,организация_S,предмет_S,
263,историю,семьи,история,семья,Ncfsan,Ncfsgn,ATR,,,деятель_S,родственник_S,
264,срезе,войны,срез,война,Ncmsln,Ncfsgn,WH,,,свойство_S,действие_S,
265,родителей,парня,родитель,парень,Ncmpay,Ncmsgy,KIN-SOC,,,родственник_S,человек_S,
266,комитет,нацбезопасности,комитет,нацбезопасность,Ncmsan,Ncfsgn,ATR,,,организация_S,учреждение_S,
267,отказ,москвы,отказ,москва,Ncmsnn,Ncfsgn,SAG,,,действие_S,родственник_S,
268,отставку,максюты,отставка,максюта,Ncfsan,Npmsgy,OB,,,агент_S,родственник_S,
