27-05-2019 15:28
==========================================================================
Column   RuTez   - classification based on linguistic ontology 'RuTez'
Column   W2V     - classification based on model 'RusVectores'
Column   Initial - semantic relation from Data-set
Column   Head    - Head Noun
Column   Gen     - Genitive
==========================================================================
RuTez      W2V     Initial     Head        Gen
ATR   ATR   ATR   комбинат   хлебопродуктов
ATR   ATR   OB   отставки   премьера
ATR   ATR   ATR   бог   сна
ATR   PAR   ATR   вирус   герпеса
ATR   ATR   WH   клетку   человека
ATR   ATR   KIN-SOC   ассистент   балетмейстера
MB   ATR   MB   балетмейстера   театра
OB   ATR   ATR   театра   комедии
ATR   ATR   POS   права   владелицы
ATR   KIN-SOC   POS   владелицы   авто
ATR   PAR   PAR   характеры   принца
ATR   ATR   OB   подготовке   статьи
OB   ATR   OB   реформе   хозяйства
ATR   ATR   SAG   участием   лыжника
ATR   ATR   POS   хозяйства   области
KIN-SOC   KIN-SOC   KIN-SOC   сын   олигарха
ATR   ATR   SAG   восстание   рабов
ATR   MB   SAG   руководством   спартака
ATR   ATR   ATR   репутацию   человека
OB   OB   OB   совращении   жрицы
ATR   ATR   OB   покупке   участка
OB   ATR   OB   защитой   капитана
ATR   ATR   PAR   мастерство   актера
ATR   ATR   OB'   снимки   стороны
ATR   ATR   WH   стороны   луны
ATR   OB   SAG   полет   женщины
OB   OB   SAG   выход   человека
ATR   ATR   ATR   должность   шеф-повара
ATR   PAR   PAR   условиям   конкурса
ATR   OB   OB   прохождении   конкурса
ATR   KIN-SOC   KIN-SOC   подельники   вора
ATR   ATR   PAR   открытость   частей
MB   MB   MB   член   совета
MB   ATR   MB   президенте   рф
ATR   ATR   ATR   институтов   общества
ATR   ATR   ATR   правам   человека
ATR   ATR   OB   защитник   отечества
ATR   ATR   ATR   план   работы
MB   MB   MB   профессор   кафедры
PAR   ATR   ATR   кафедры   физиологии
ATR   PAR   PAR   физиологии   человека
ATR   ATR   WH   кафедры   факультета
ATR   ATR   WH   факультета   мгу
ATR   PAR   PAR   величины   лотов
ATR   ATR   ATR   идею   отмены
ATR   ATR   OB   отмены   выборов
ATR   OB   OB   выборов   мэра
ATR   ATR   MB   мэра   владивостока
ATR   ATR   ATR   пикетом   протеста
ATR   ATR   ATR   здания   думы
ATR   ATR   PAR   степень   лояльности
ATR   ATR   PAR   лояльности   арендодателя
ATR   ATR   POS   собственник   бизнес-центра
ATR   ATR   ATR   права   расторжения
ATR   ATR   OB   регистрации   ребенка
OB   ATR   WH   органах   загса
OB   ATR   OB   получение   квартиры
MB   ATR   MB   губернатор   края
ATR   ATR   OB   посещение   красноярска
KIN-SOC   ATR   KIN-SOC   пресс-секретарь   премьера
MB   ATR   MB   гендиректор   агенства
ATR   ATR   ATR   агенства   недвижимости
ATR   ATR   OB   возведением   стен
ATR   ATR   ATR   историю   семьи
ATR   ATR   WH   срезе   войны
ATR   KIN-SOC   KIN-SOC   родителей   парня
OB   ATR   ATR   комитет   нацбезопасности
ATR   ATR   SAG   отказ   москвы
ATR   ATR   OB   отставку   максюты
ATR   ATR   ATR   поста   члена
MB   MB   MB   члена   совета
ATR   ATR   MB   партии   зюганова
ATR   ATR   ATR   список   кпрф
ATR   ATR   PAR   пол   ребенка
ATR   ATR   PAR   возрастом   женщины
POS   ATR   ATR   место   происшествия
KIN-SOC   ATR   KIN-SOC   заместитель   прокурора
MB   ATR   MB   прокурора   рф
ATR   ATR   ATR   зависимость   художника
ATR   ATR   SPA   развития   капитализма
PAR   ATR   SPA   роста   класса
ATR   ATR   ATR   класса   буржуазии
MB   MB   MB   глава   государства
ATR   ATR   PAR   уровень   конкуренции
ATR   ATR   ATR   роль   наблюдателя
OB   ATR   OB   совершенствование   эффективности
ATR   ATR   PAR   эффективности   работы
ATR   ATR   SAG   работы   гэс
ATR   ATR   ATR   отдела   развития
MB   MB   MB   специалист   отдела
ATR   POS   POS   обладатель   кубка
ATR   OB   OB   выборе   эмитента
PAR   ATR   PAR   продолжительность   периода
ATR   ATR   ATR   чувство   неловкости
ATR   ATR   SAG   достижение   короля
POS   ATR   POS   джип   маршала
OB   ATR   OB   удаления   полузащитника
ATR   ATR   PAR   правоту   решения
MB   ATR   OB'   тренер   фк
PAR   ATR   OB   регулирование   тарифов
ATR   ATR   PAR   компетенции   властей
ATR   ATR   OB   моделирование   ситуации
ATR   ATR   ATR   ситуации   перехода
PAR   PAR   ATR   методом   гипокинезии
ATR   ATR   ATR   программе   исследований
PAR   ATR   OB   реализации   устройств
ATR   POS   ATR   целью   использования
KIN-SOC   KIN-SOC   KIN-SOC   мать   ученого
ATR   ATR   SPA   нужды   человека
ATR   ATR   OB   удовлетворения   потребности
MB   POS   OB'   проводник   помощи
ATR   KIN-SOC   SAG   измены   мужа
ATR   POS   ATR   почве   измены
ATR   ATR   OB   использование   материалов
PAR   ATR   OB   нарушение   процедуры
ATR   ATR   ATR   процедуры   проведения
ATR   ATR   OB   проведения   егэ
ATR   ATR   ATR   способностях   психолога
PAR   ATR   WH   остатки   мира
ATR   ATR   ATR   духе   оперы
OB   ATR   OB   продвижение   продукта
OB   ATR   SAG   протекция   супруги
ATR   KIN-SOC   KIN-SOC   супруги   главы
MB   MB   MB   главы   государства
ATR   POS   ATR   причиной   награждения
ATR   SAG   OB   награждения   михайлова
ATR   ATR   SPA   развития   образования
PAR   ATR   SPA   повышения   престижа
ATR   ATR   PAR   престижа   профессии
ATR   ATR   OB   изгнанию   дьявола
ATR   PAR   PAR   вес   ведра
ATR   ATR   POS   сайте   бизнесмена
ATR   SAG   ATR   манера   поведения
ATR   OB   SAG   поведения   саркози
ATR   PAR   SPA   происхождением   главы
MB   MB   MB   главы   государства
ATR   PAR   PAR   типу   наблюдения
ATR   ATR   OB   назначения   лечения
ATR   ATR   PAR   объема   информации
ATR   ATR   KIN-SOC   коллеги   вдовца
ATR   POS   ATR   графики   ремонта
PAR   ATR   OB   ремонта   оборудования
ATR   OB   SPA   перетоки   мощностей
ATR   ATR   SPA   недостатке   мощности
ATR   POS   ATR   способ   наказания
ATR   ATR   OB   наказания   человека
ATR   SAG   POS   постели   больного
MB   ATR   MB   эксперта   центра
ATR   ATR   MB   представитель   администрации
ATR   ATR   ATR   администрации   президента
MB   ATR   MB   президента   рф
OB   ATR   OB   принятия   указа
ATR   ATR   PAR   недостатки   оказания
ATR   ATR   OB   оказания   медпомощи
PAR   ATR   ATR   палату   терапии
--------------------------------------------------------------------------
0.40974212034383956       0.3438395415472779
